;Max;Fre
0;0.08662900894087013;8.308895405669599
1;0.12634975781150246;7.086999022482893
2;0.19315662998960953;8.308895405669599
3;0.4727499523473109;8.308895405669599
4;0.04679793480242981;8.308895405669599
5;0.1103278397935272;8.308895405669599
;Max;Fre
0;0.08662900894087013;8.308895405669599
1;0.12634975781150246;7.086999022482893
2;0.19315662998960953;8.308895405669599
3;0.4727499523473109;8.308895405669599
4;0.04679793480242981;8.308895405669599
5;0.1103278397935272;8.308895405669599
6;0.12717704087285478;7.086999022482893
7;0.06782283856307803;7.086999022482893
8;0.036904544544172;8.308895405669599
9;0.03760771499204371;7.086999022482893
10;0.3188500361116644;8.308895405669599
11;0.10759607394838035;7.086999022482893
12;0.30017969966442587;8.308895405669599
13;0.2444785276693893;8.308895405669599
;Max;Fre
0;0.08662900894087013;8.308895405669599
1;0.12634975781150246;7.086999022482893
2;0.19315662998960953;8.308895405669599
3;0.4727499523473109;8.308895405669599
4;0.04679793480242981;8.308895405669599
5;0.1103278397935272;8.308895405669599
6;0.12717704087285478;7.086999022482893
7;0.06782283856307803;7.086999022482893
8;0.036904544544172;8.308895405669599
9;0.03760771499204371;7.086999022482893
10;0.3188500361116644;8.308895405669599
11;0.10759607394838035;7.086999022482893
12;0.30017969966442587;8.308895405669599
13;0.2444785276693893;8.308895405669599
